Sulejówek;52STP14MIN39SEC;21STP16MIN48SEC
Sulęcin;52STP27MIN;15STP07MIN
Sulmierzyce;51STP36MIN;17STP32MIN
Sułkowice;49STP50MIN16SEC;19STP47MIN44SEC
Supraśl;53STP13MIN;23STP20MIN
Suraż;52STP57MIN19SEC;22STP57MIN19SEC
Susz;53STP43MIN12SEC;19STP20MIN14SEC
Susz;53STP43MIN12SEC;19STP20MIN14SEC
Suwałki;54STP05MIN;22STP56MIN
Swarzędz;52STP24MIN30SEC;17STP04MIN17SEC
Syców;51STP18MIN36SEC;17STP43MIN25SEC
Szadek;51STP42MIN;18STP59MIN
Szamocin;53STP01MIN49SEC;17STP07MIN14SEC
Szamotuły;52STP36MIN;16STP35MIN
Szczawnica;49STP25MIN22SEC;20STP28MIN58SEC
Szczebrzeszyn;50STP41MIN;22STP58MIN
Szczecin;53STP26MIN17SEC;14STP32MIN32SEC
Szczecinek;53STP43MIN;16STP41MIN
Szczekociny;50STP37MIN39SEC;19STP49MIN31SEC
Szczyrk;49STP42MIN58SEC;19STP01MIN37SEC
Szczytna;50STP25MIN;16STP26MIN
Szczytno;53STP33MIN46SEC;20STP59MIN07SEC
Szlichtyngowa;51STP43MIN;16STP15MIN
Szprotawa;51STP34MIN;15STP30MIN
Sztum;53STP55MIN18SEC;19STP02MIN01SEC
Szubin;53STP01MIN;17STP45MIN
Szydłowiec;51STP14MIN;20STP51MIN
Ścinawa;51STP24MIN40SEC;16STP25MIN23SEC
Ślesin;52STP22MIN;18STP18MIN
Śmigiel;52STP00MIN33SEC;16STP31MIN07SEC
Śrem;52STP05MIN;17STP01MIN
Świdnica;50STP50MIN40SEC;16STP29MIN30SEC
Świdnik;51STP13MIN;22STP42MIN
Świdwin;53STP47MIN;15STP46MIN
Świebodzice;50STP51MIN;16STP19MIN
Świebodzin;52STP15MIN;15STP32MIN
Świecie;53STP25MIN;18STP26MIN
Świerzawa;51STP01MIN;15STP54MIN
Świętochłowice;50STP17MIN31SEC;18STP55MIN04SEC
Świnoujście;53STP54MIN28SEC;14STP14MIN51SEC
Tarnobrzeg;50STP35MIN;21STP41MIN
Tarnogród;50STP21MIN40SEC;22STP44MIN30SEC
Tarnów;50STP00MIN45SEC;20STP59MIN19SEC
Tczew;54STP06MIN;18STP43MIN
Terespol;52STP05MIN;23STP34MIN
Tolkmicko;54STP19MIN14SEC;19STP31MIN50SEC
Toruń;53STP02MIN;18STP37MIN
Torzym;52STP18MIN46SEC;15STP04MIN40SEC
Toszek;50STP27MIN15SEC;18STP31MIN20SEC
Trzcianka;53STP02MIN30SEC;16STP27MIN40SEC
Trzciel;52STP22MIN;15STP53MIN
Trzebiatów;54STP03MIN26SEC;15STP16MIN43SEC
Trzebinia;50STP10MIN;19STP29MIN
Trzebnica;51STP18MIN18SEC;17STP03MIN41SEC
Trzemeszno;52STP33MIN51SEC;17STP49MIN40SEC
Tuchola;53STP36MIN;17STP51MIN
Tuchów;49STP54MIN;21STP03MIN
Tuczno;53STP11MIN38SEC;16STP09MIN16SEC
Tuliszków;52STP04MIN;18STP17MIN
Turek;52STP00MIN41SEC;18STP29MIN25SEC
Tuszyn;51STP36MIN33SEC;19STP31MIN48SEC
Twardogóra;51STP21MIN53SEC;17STP28MIN11SEC
Tychy;50STP08MIN;18STP59MIN
Tyczyn;49STP58MIN;22STP02MIN
Tykocin;53STP12MIN11SEC;22STP46MIN15SEC
Ujazd;50STP23MIN26SEC;18STP21MIN15SEC
Ulanów;50STP30MIN;22STP16MIN
Uniejów;51STP58MIN12SEC;18STP48MIN01SEC
Ustka;54STP34MIN43SEC;16STP52MIN09SEC
Ustroń;49STP43MIN;18STP49MIN
Wadowice;49STP53MIN;19STP30MIN
Wałbrzych;50STP47MIN;16STP17MIN
Wałcz;53STP16MIN16SEC;16STP28MIN00SEC
Warka;51STP47MIN;21STP12MIN
Warszawa;52STP13MIN56SEC;21STP00MIN30SEC
Warta;52STP35MIN55SEC;14STP36MIN37SEC
Wasilków;53STP12MIN18SEC;23STP12MIN16SEC
Wąbrzeźno;53STP17MIN;18STP57MIN
Wąchock;51STP04MIN27SEC;21STP00MIN49SEC
Wągrowiec;52STP48MIN25SEC;17STP12MIN25SEC
Wejherowo;54STP36MIN;18STP15MIN
Węgliniec;51STP17MIN18SEC;15STP13MIN32SEC
Węgorzewo;54STP13MIN;21STP45MIN
Węgorzyno;53STP32MIN20SEC;15STP33MIN46SEC
Węgrów;52STP24MIN;22STP01MIN
Wiązów;50STP48MIN55SEC;17STP12MIN13SEC
Wieleń;52STP53MIN32SEC;16STP10MIN25SEC
Wielichowo;52STP07MIN08SEC;16STP20MIN58SEC
Wieliczka;49STP59MIN22SEC;20STP03MIN58SEC
Wieluń;51STP13MIN21SEC;18STP34MIN26SEC
Wieruszów;51STP18MIN;18STP09MIN
Więcbork;53STP21MIN15SEC;17STP29MIN34SEC
Wilamowice;49STP54MIN59SEC;19STP09MIN07SEC
Wisła;49STP36MIN21SEC;19STP00MIN13SEC
Witkowo;52STP26MIN11SEC;17STP46MIN27SEC
Witnica;52STP40MIN40SEC;14STP53MIN29SEC
Wleń;51STP01MIN00SEC;15STP40MIN14SEC
Władysławowo;54STP50MIN02SEC;18STP18MIN56SEC
Włocławek;52STP39MIN;19STP03MIN
Włodawa;51STP33MIN;23STP33MIN
Włoszczowa;50STP51MIN15SEC;19STP58MIN01SEC
Wojcieszów;50STP57MIN17SEC;15STP55MIN23SEC
Wojkowice;50STP21MIN53SEC;19STP02MIN12SEC
Wolbrom;50STP24MIN;19STP46MIN
Wolsztyn;52STP07MIN;16STP07MIN
Wołczyn;51STP01MIN06SEC;18STP03MIN25SEC
Wołomin;52STP20MIN20SEC;21STP14MIN32SEC
Wołów;51STP20MIN29SEC;16STP37MIN42SEC
Woźniki;50STP37MIN31SEC;19STP03MIN52SEC
Wrocław;51STP06MIN36SEC;17STP01MIN20SEC
Wronki;52STP42MIN;16STP23MIN
Września;52STP20MIN;17STP35MIN
Wschowa;51STP48MIN;16STP18MIN
Wyrzysk;53STP09MIN;17STP16MIN
Wyszków;52STP35MIN36SEC;21STP27MIN36SEC
Wyszogród;52STP23MIN23SEC;20STP11MIN27SEC
Wyśmierzyce;51STP37MIN27SEC;20STP48MIN48SEC
Zabłudów;53STP01MIN;23STP20MIN
Zabrze;50STP18MIN;18STP47MIN
Zagórów;52STP09MIN56SEC;17STP53MIN30SEC
Zagórz;49STP31MIN;22STP16MIN
Zakopane;49STP18MIN;19STP57MIN
Zakroczym;52STP26MIN;20STP37MIN
Zalewo;53STP50MIN46SEC;19STP36MIN37SEC
Zambrów;52STP59MIN;22STP15MIN
Zamość;50STP43MIN14SEC;23STP15MIN31SEC
Zawadzkie;50STP36MIN34SEC;18STP28MIN48SEC
Zawichost;50STP48MIN24SEC;21STP51MIN23SEC
Zawidów;51STP01MIN;15STP04MIN
Zawiercie;50STP29MIN15SEC;19STP24MIN59SEC
Ząbki;52STP17MIN34SEC;21STP06MIN58SEC
Zbąszynek;52STP15MIN;15STP49MIN
Zbąszyń;52STP15MIN11SEC;15STP55MIN04SEC
Zduny;51STP38MIN47SEC;17STP22MIN40SEC
Zdzieszowice;50STP25MIN09SEC;18STP07MIN25SEC
Zelów;51STP28MIN00SEC;19STP13MIN17SEC
Zgierz;51STP51MIN;19STP25MIN
Zgorzelec;51STP09MIN01SEC;15STP00MIN31SEC
Zielonka;52STP18MIN12SEC;21STP09MIN38SEC
Ziębice;50STP36MIN;17STP02MIN
Złocieniec;53STP31MIN37SEC;16STP00MIN44SEC
Złoczew;51STP24MIN53SEC;18STP36MIN26SEC
Złotoryja;51STP08MIN;15STP55MIN
Złotów;53STP21MIN37SEC;17STP02MIN27SEC
Zwoleń;51STP21MIN25SEC;21STP35MIN02SEC
Żabno;50STP07MIN58SEC;20STP53MIN07SEC
Żagań;51STP37MIN;15STP19MIN
Żarki;50STP37MIN27SEC;19STP21MIN50SEC
Żarów;50STP56MIN;16STP29MIN
Żary;51STP38MIN;15STP08MIN
Żelechów;51STP48MIN48SEC;21STP53MIN46SEC
Żerków;52STP04MIN;17STP34MIN
Żmigród;51STP28MIN13SEC;16STP54MIN18SEC
Żnin;52STP51MIN;17STP42MIN
Żory;50STP03MIN;18STP42MIN
Żukowo;54STP20MIN45SEC;18STP21MIN38SEC
Żuromin;53STP04MIN;19STP54MIN
Żychlin;52STP14MIN43SEC;19STP37MIN25SEC
Żyrardów;52STP02MIN55SEC;20STP26MIN45SEC
Żywiec;49STP41MIN21SEC;19STP12MIN21SEC
